Plano manut.,CenTrab respon.,Texto item man.,Loc.instalação,Data planejada,Dta.iníc.progr.,Data encermto.,Última ordem,Ordem,Tipo de ordem
TMCLDTCH046A,TNTMCPM,Teste operativo (MCL) CH-1PT3,MT-S-41209-FT03-CH-1PT3,5/1/2025,6/1/2025,,2200235533,2200235533,TDET
TUEMDTCH064A,TTAEMPM,Teste operativo (UEM) CH-12U5,MT-S-41103-FL12-CH-12U5,6/1/2025,3/2/2025,,2200235598,2200235598,TDET
TUEMDTCH063A,TTAEMPM,Teste operativo (UEM) CH-12U3,MT-S-41103-FL12-CH-12U3,6/1/2025,3/2/2025,,2200235597,2200235597,TDET
TMCLDTDJ018A,TNTMCPM,Teste operativo (MCL) DJ-212F4,MT-S-41209-DT01-DJ-212F4,9/1/2025,9/1/2025,,2200247976,2200247976,TDET
TIJADTCH005A,TSEIJPM,Teste operativo (IJA) CH-3K1,MT-S-40313-DL03-CH-3K1,11/1/2025,13/1/2025,,2200236023,2200236023,TDET
TIJADTCH013A,TSEIJPM,Teste operativo (IJA) CH-6K1,MT-S-40313-DL06-CH-6K1,11/1/2025,13/1/2025,,2200236025,2200236025,TDET
TIJADTCH006A,TSEIJPM,Teste operativo (IJA) CH-3K2,MT-S-40313-DL03-CH-3K2,11/1/2025,13/1/2025,,2200236024,2200236024,TDET
TIJADTCH014A,TSEIJPM,Teste operativo (IJA) CH-6K2,MT-S-40313-DL06-CH-6K2,11/1/2025,13/1/2025,,2200236026,2200236026,TDET
TIJADTCH043A,TSEIJPM,Teste operativo (IJA) CH-4K1,MT-S-40313-FT02-CH-4K1,12/1/2025,13/1/2025,,2200236065,2200236065,TDET
TIJADTCH038A,TSEIJPM,Teste operativo (IJA) CH-9K1,MT-S-40313-FT01-CH-9K1,12/1/2025,13/1/2025,,2200236063,2200236063,TDET
TIJADTCH039A,TSEIJPM,Teste operativo (IJA) CH-9K2,MT-S-40313-FT01-CH-9K2,12/1/2025,13/1/2025,,2200236064,2200236064,TDET
TIJADTCH001A,TSEIJPM,Teste operativo (IJA) CH-1K1,MT-S-40313-DL01-CH-1K1,12/1/2025,13/1/2025,,2200236061,2200236061,TDET
TBDPDTCH015A,TTABDPM,Teste operativo (BDP) CH-3UT1R_VM,MT-S-70113-FE01-CH-3UT1R_VM,12/1/2025,13/1/2025,,2200236041,2200236041,TDET
TBDPDTCH010A,TTABDPM,Teste operativo (BDP) CH-310FC2_2T,MT-S-70113-FE01-CH-310FC2_2T,12/1/2025,13/1/2025,,2200235620,2200235620,TDET
TBDPDTCH008A,TTABDPM,Teste operativo (BDP) CH-308FS2_2T,MT-S-70113-FE01-CH-308FS2_2T,12/1/2025,13/1/2025,,2200235619,2200235619,TDET
TBDPDTCH005A,TTABDPM,Teste operativo (BDP) CH-305FS1_1T,MT-S-70113-FE01-CH-305FS1_1T,12/1/2025,13/1/2025,,2200235618,2200235618,TDET
TBDPDTCH003A,TTABDPM,Teste operativo (BDP) CH-303F8_8T,MT-S-70113-FE01-CH-303F8_8T,12/1/2025,13/1/2025,,2200235617,2200235617,TDET
TIJADTCH021A,TSEIJPM,Teste operativo (IJA) CH-8K1,MT-S-40313-DL08-CH-8K1,14/1/2025,14/1/2025,,2200236181,2200236181,TDET
TIJADTCH022A,TSEIJPM,Teste operativo (IJA) CH-8K2,MT-S-40313-DL08-CH-8K2,14/1/2025,14/1/2025,,2200236182,2200236182,TDET
TIJADTCH024A,TSEIJPM,Teste operativo (IJA) CH-8K6,MT-S-40313-DL08-CH-8K6,14/1/2025,14/1/2025,,2200236183,2200236183,TDET
TIJADTCH002A,TSEIJPM,Teste operativo (IJA) CH-1K2,MT-S-40313-DL01-CH-1K2,14/1/2025,14/1/2025,,2200236179,2200236179,TDET
